股票代码,市盈率-动态,归母净利润增长率
600570,111.48,9.116
688066,-19.17,9.053999999999998
688202,-27.67,8.996
688083,844.79,8.939499999999999
600055,78.46,8.875
300133,84.75,8.811499999999999
688768,1179.23,8.748999999999999
300406,18.18,8.686499999999999
300682,69.29,8.624500000000001
300030,-34.96,8.5735
300396,17.65,8.5215
301539,67.56,8.4755
605088,19.65,8.428999999999998
301370,42.45,8.384
600845,39.06,8.341
688489,253.39,8.2945
002368,-480.03,8.2485
600131,62.26,8.2015
300344,-92.08,8.1525
301302,-10.94,8.1045
833346,56.45,8.062999999999999
603766,18.89,8.024
300074,-34.18,7.985499999999999
688433,224.11,7.9445
300559,82.81,7.9125
300113,52.49,7.8765
688108,-522.76,7.8405000000000005
605589,30.37,7.806
300257,35.7,7.7715000000000005
688232,-669.15,7.7375
688162,-141.83,7.703999999999999
688118,-30.11,7.669000000000001
000813,706.53,7.633500000000001
300823,47.04,7.596499999999999
300126,-88.35,7.5600000000000005
300910,23.03,7.5280000000000005
300412,137.48,7.493
300321,153.37,7.4595
430478,22.52,7.4285
300895,-68.26,7.394999999999999
301153,1161.11,7.361500000000001
002541,13.39,7.329000000000001
688152,-175.86,7.2955
430564,-86.52,7.261500000000001
600633,35.96,7.224500000000001
301333,45.22,7.1905
688475,63.98,7.156499999999999
301408,37.64,7.122
300199,-247.04,7.0875
688692,133.05,7.050999999999999
300789,37.02,7.0135000000000005
837344,161.45,6.976999999999999
605133,30.11,6.9415
600718,71.87,6.907500000000001
603095,53.36,6.872
603800,53.52,6.837000000000001
688271,124.51,6.805499999999999
002992,-115.84,6.773000000000001
300036,269.59,6.741
300143,69.32,6.712000000000001
688302,-15.32,6.6815
300460,1592.95,6.65
836504,82.92,6.6205
603786,37.7,6.593999999999999
000702,-99.35,6.5705
300119,25.47,6.5489999999999995
688788,-16.54,6.527500000000001
688301,29.55,6.506
688316,-59.98,6.486500000000001
600861,12.78,6.469499999999999
000938,41.22,6.453999999999999
001309,31.74,6.4375
688710,30.14,6.4215
300687,81.89,6.406000000000001
300550,3182.95,6.3895
300738,115.84,6.374
002518,32.43,6.359
833075,48.65,6.345
002212,-49.17,6.331
300267,-177.37,6.3155
300404,67.38,6.3004999999999995
603030,-79.24,6.286
300271,-23.16,6.2715000000000005
002919,37.86,6.2595
002036,-225.04,6.2445
300562,50.71,6.2295
300147,-24.32,6.2145
688023,-16.47,6.199
002126,24.81,6.1825
300016,104.06,6.1659999999999995
002558,21.79,6.1495
301259,-178.33,6.1335
688695,227.48,6.1175
871245,71.85,6.101
000029,2423.5,6.0875
688073,42.63,6.0725
300730,-39.55,6.057499999999999
871642,-74.46,6.0424999999999995
688277,-55.53,6.0275
300009,19.12,6.013
688027,-414.38,5.9975000000000005
300183,72.55,5.982
688562,-63.65,5.965999999999999
688631,901.29,5.9479999999999995
300299,-88.2,5.932499999999999
002373,819.0,5.915
003029,-54.61,5.898
603122,87.59,5.881
301291,27.71,5.8629999999999995
300347,44.44,5.845000000000001
301601,38.77,5.8265
688131,46.96,5.8085
605376,74.72,5.7905
300616,-20.06,5.7725
688217,166.04,5.754
835184,104.1,5.737
300642,76.24,5.718999999999999
301509,61.64,5.7010000000000005
002065,45.98,5.6815
002410,81.28,5.6625
001256,25.0,5.643
832110,35.82,5.622999999999999
300075,411.23,5.603
300678,1381.06,5.5840000000000005
300639,-11.57,5.5655
300876,-68.55,5.547
301238,73.03,5.529
688051,-46.73,5.5085
300657,216.14,5.4895000000000005
605089,40.12,5.4695
000815,-641.52,5.4505
300352,-156.16,5.4325
000912,47.19,5.414
301308,50.35,5.3955
002987,36.54,5.3774999999999995
600588,-32.22,5.357
873706,23.38,5.338
300520,-123.83,5.318
688030,-32.44,5.2995
300603,914.75,5.281499999999999
688139,26.02,5.2655
831087,184.19,5.250500000000001
688611,101.18,5.236
301378,-53.06,5.2219999999999995
300188,-42.7,5.208
300719,712.23,5.196
603596,35.55,5.183000000000001
688039,-47.23,5.171
834415,219.9,5.1594999999999995
002052,-195.95,5.149
688159,31.25,5.1385
688114,-47.21,5.127
300369,-16.53,5.1160000000000005
300996,278.69,5.106
000426,13.74,5.0955
002347,-201.28,5.0875
300418,-63.7,5.0795
603690,39.07,5.0725
838810,-44.28,5.0649999999999995
600289,65.67,5.057499999999999
002650,-59.0,5.0504999999999995
002490,32.67,5.0435
603613,14.41,5.0365
300937,158.16,5.029999999999999
300832,27.68,5.0235
837592,-120.94,5.016
002439,-80.04,5.0089999999999995
002569,-69.22,5.0035
002953,33.53,4.997999999999999
600012,16.48,4.9925
603879,-30.66,4.9855
000066,-59.46,4.9795
603608,-41.65,4.9735
300723,-24.76,4.9670000000000005
002183,150.05,4.961
870726,54.98,4.9545
002010,45.45,4.9479999999999995
600380,14.71,4.941000000000001
603189,340.94,4.934500000000001
300479,-29.69,4.928
300171,51.97,4.921
688719,74.38,4.913500000000001
300149,-42.09,4.9055
002886,150.63,4.897
301257,23.87,4.8885
301159,-19.73,4.8805
002091,10.78,4.873
002843,76.73,4.8665
688169,24.15,4.8575
002076,-1437.12,4.8475
688008,64.35,4.839
301251,84.03,4.829
002517,20.27,4.8185
600571,-905.02,4.807
000555,-77.06,4.794
600439,347.13,4.781499999999999
688235,-55.8,4.7685
300753,534.34,4.756
603259,19.72,4.743
300547,34.21,4.729000000000001
300096,-18.4,4.715000000000001
831039,26.94,4.7015
688046,49.47,4.6884999999999994
688329,-34.29,4.6755
600229,29.09,4.661
300608,-22.61,4.647
688466,31.58,4.632499999999999
300989,-92.8,4.618
603150,19.96,4.606
002542,-30.92,4.595
300830,-82.14,4.584
688058,-40.65,4.5745000000000005
688176,-11.73,4.565
001965,15.43,4.557
830946,35.85,4.55
688227,-76.6,4.543
002173,-121.95,4.536
300439,14.09,4.528499999999999
688676,33.19,4.5215
300348,2292.26,4.515
688700,92.59,4.507499999999999
603927,51.26,4.5
833266,527.71,4.492500000000001
300759,25.09,4.485
300852,33.85,4.4784999999999995
300509,69.8,4.4719999999999995
300693,26.45,4.4655000000000005
873806,85.82,4.459
600831,-2.71,4.452
300003,21.4,4.445
301182,-65.96,4.4375
002396,36.3,4.429499999999999
003005,208.76,4.420999999999999
688621,16.49,4.412
000099,85.02,4.403499999999999
002594,30.78,4.3950000000000005
603197,31.05,4.3870000000000005
301349,-190.67,4.3795
688089,34.22,4.3715
688428,-60.38,4.364
603392,243.86,4.358
430017,18.06,4.3515
300760,22.38,4.3454999999999995
002448,15.15,4.34
600589,-183.84,4.335
300579,-233.57,4.33
002232,-195.68,4.325
000977,53.97,4.32
601108,19.64,4.314500000000001
603327,55.4,4.3095
605298,156.97,4.3045
300469,-81.2,4.3
002191,20.28,4.295999999999999
301086,31.94,4.292
688443,-12.49,4.288
300378,176.74,4.2835
002811,25.06,4.278499999999999
300633,92.97,4.273
300302,191.36,4.2665
603158,14.4,4.2595
301339,43.31,4.2525
837092,546.68,4.244999999999999
300017,59.26,4.2364999999999995
603606,28.05,4.228
688247,39.19,4.218
603663,82.0,4.2075000000000005
301162,68.04,4.197
300020,-11.84,4.1865000000000006
831832,80.3,4.1765
688191,65.4,4.1655
301097,271.22,4.1545
300463,21.5,4.143
301248,-40.83,4.131500000000001
603950,34.5,4.1205
002156,63.53,4.109
301633,62.87,4.098
603377,-11.55,4.087
603000,368.71,4.0765
300001,43.89,4.066999999999999
300952,31.76,4.057499999999999
688626,54.63,4.048
688288,-54.08,4.039
300203,51.03,4.0305
002264,19.43,4.0215
002011,14.61,4.0135
300536,-30.92,4.006
300359,-66.92,3.9985
301631,33.73,3.9910000000000005
832876,260.75,3.9839999999999995
300047,224.64,3.9769999999999994
300235,128.61,3.9705000000000004
000801,107.35,3.964
300645,186.53,3.9579999999999997
301320,50.89,3.9519999999999995
300467,138.85,3.9455000000000005
000656,-1.21,3.9385
301293,73.91,3.9314999999999998
301330,36.76,3.9244999999999997
002282,20.67,3.9180000000000006
603738,55.93,3.9115
000096,74.98,3.905
688468,19.53,3.899
002642,396.87,3.893
002912,-78.89,3.8875
688179,45.04,3.882
002354,-1214.66,3.876499999999999
000997,22.81,3.8715
301015,15.34,3.8665
300340,-20.49,3.8615000000000004
688292,76.85,3.8575000000000004
688238,-13.95,3.8529999999999993
000810,54.57,3.849
603529,16.76,3.8445
300169,313.63,3.8400000000000007
002401,33.26,3.836
688109,132.7,3.832
300807,-36.24,3.8285000000000005
002223,18.34,3.8230000000000004
688331,-11.5,3.8175
002657,-71.23,3.8125
603179,26.3,3.807
300643,26.62,3.8015
301235,82.85,3.7965000000000004
301313,-16.97,3.7915
600645,56.99,3.7865
300148,134.19,3.7800000000000002
688580,28.46,3.7724999999999995
301111,139.57,3.7644999999999995
002290,38.71,3.7560000000000002
000566,-16.84,3.747
300599,-41.0,3.7380000000000004
301058,36.04,3.729
603042,-210.12,3.7195
600979,22.53,3.7099999999999995
300018,38.83,3.7009999999999996
300284,70.93,3.692
601633,15.89,3.683
688201,-48.76,3.6759999999999997
688038,756.45,3.6685000000000003
002279,-22.11,3.661
605198,40.21,3.654000000000001
002864,24.86,3.647
301089,-1029.99,3.6399999999999997
837403,141.54,3.6325000000000003
000157,14.97,3.6255
000506,-37.98,3.62
301380,84.09,3.614
839946,-70.99,3.6075000000000004
301017,-303.97,3.601
000400,22.34,3.5945
837748,-192.81,3.5885
300042,-50.0,3.582
301607,38.97,3.5765000000000002
301201,57.77,3.5705
688349,36.3,3.5635
002757,20.34,3.557
300654,116.68,3.5505000000000004
002152,35.43,3.5440000000000005
000988,34.25,3.5379999999999994
002178,-417.52,3.5315
002085,56.49,3.525
600850,44.75,3.518
000516,-43.0,3.511
002054,49.9,3.5045
600536,-96.66,3.4979999999999998
300662,28.13,3.4909999999999997
603939,21.13,3.4855000000000005
601098,19.85,3.4810000000000003
300523,-25.54,3.4769999999999994
301556,83.7,3.4735
002415,26.94,3.4695
300480,-73.38,3.466
603233,15.26,3.4625
600756,-45.57,3.4595
301096,21.72,3.4565000000000006
002230,-275.33,3.4530000000000003
301091,254.02,3.4494999999999996
603079,84.45,3.446
688166,53.7,3.442
301172,92.81,3.4385000000000003
603444,19.93,3.435
300833,15.71,3.431
600133,38.06,3.4270000000000005
000868,-928.29,3.4225000000000003
300869,439.11,3.418
689009,30.34,3.4135
600249,27.3,3.4085
603630,39.29,3.4025
301273,-26.57,3.3965000000000005
300229,426.87,3.3899999999999997
688273,19.22,3.3840000000000003
301498,59.96,3.3775
001229,58.55,3.3705
601965,20.3,3.3630000000000004
301608,39.14,3.3564999999999996
600733,-8.19,3.3505000000000003
603486,37.73,3.343
001696,60.24,3.3345
301117,-143.71,3.3259999999999996
600476,-479.73,3.3175000000000003
688026,28.88,3.3089999999999997
688353,-22.13,3.3009999999999997
300552,-25.27,3.293
301169,-35.28,3.2855000000000003
688758,90.17,3.278
837023,34.29,3.2700000000000005
002174,1373.08,3.2620000000000005
300911,-310.53,3.255
688071,-80.54,3.2479999999999998
688283,146.18,3.2415
688105,356.68,3.2344999999999997
300750,24.74,3.228
002022,-19.45,3.222
002430,23.77,3.2165
688553,21.38,3.2105000000000006
301207,31.85,3.2045000000000003
300659,-19.23,3.2
300768,114.47,3.196
603322,208.25,3.1919999999999997
300522,99.19,3.188
603123,-13.47,3.1835
002387,-6.7,3.1795
301221,333.52,3.1755
603138,-88.32,3.1710000000000003
603658,19.11,3.166
000811,15.56,3.162
688520,86.33,3.1580000000000004
000042,-6.06,3.154
300901,-77.58,3.1495
002805,-20.01,3.1445
300383,66.08,3.14
300250,-92.68,3.1345
300961,-725.73,3.1290000000000004
002467,107.95,3.1225
300588,-89.44,3.1165
300002,19.58,3.1105
002236,16.77,3.104
300609,-64.51,3.098
688338,23.64,3.092
603232,-69.73,3.086
300249,837.31,3.0799999999999996
301581,36.23,3.074
002979,64.87,3.0675
603682,57.96,3.0614999999999997
301236,663.66,3.056
300254,39.06,3.05
688004,-31.35,3.0445
300264,-60.33,3.0385
688136,168.4,3.033
300238,91.23,3.0275
300862,-572.54,3.0215
000037,-79.16,3.0159999999999996
601702,17.39,3.0104999999999995
605305,18.84,3.006
301299,69.14,3.0010000000000003
688161,47.8,2.996
600031,22.8,2.9915
601336,5.54,2.987
872931,31.89,2.9825
603387,15.85,2.9775
688671,-100.42,2.973
688065,54.9,2.968
002602,18.57,2.9635000000000002
300935,-40.17,2.959
832171,-27.17,2.954
300231,83.32,2.9494999999999996
000779,17.13,2.9445
600107,-25.63,2.9400000000000004
688293,133.27,2.9355
002268,-55.03,2.931
300710,104.08,2.927
688343,-40.59,2.9225
301331,85.33,2.918
002624,-44.23,2.9135
301337,-123.59,2.9095
301267,28.47,2.9055
300192,49.24,2.9010000000000002
688526,18.35,2.8965
688326,-22.16,2.8920000000000003
300675,-50.72,2.8880000000000003
300289,1926.65,2.884
688568,171.13,2.88
600587,12.3,2.876
688698,38.79,2.8720000000000003
300379,-39.76,2.868
600100,281.02,2.864
688276,30.43,2.8605
300702,55.68,2.857
300605,-71.4,2.8525
002734,47.24,2.8485
688777,48.8,2.8445
835579,255.84,2.841
000925,-49.22,2.8375
688390,851.65,2.8335
688410,40.19,2.8295000000000003
688212,116.95,2.825
600406,31.91,2.821
301458,78.03,2.8165
301335,41.17,2.8125
605186,71.99,2.8085
300925,84.83,2.804
300801,33.47,2.8
688188,42.25,2.7960000000000003
300204,-285.06,2.792
300021,95.84,2.7885
300872,73.15,2.784
000521,12.04,2.779
002716,64.49,2.774
300363,-34.28,2.7700000000000005
000851,-41.55,2.766
688289,51.1,2.7619999999999996
300357,29.91,2.758
836433,125.59,2.754
002406,45.55,2.7504999999999997
000876,201.55,2.7465
001226,112.35,2.7424999999999997
002219,128.48,2.738
300525,266.97,2.734
688197,-24.3,2.7299999999999995
832978,25.98,2.726
300326,73.47,2.7220000000000004
603701,199.08,2.718
601858,60.47,2.714
300314,39.27,2.71
301307,-70.81,2.7060000000000004
002227,-88.43,2.7025
002474,-163.47,2.6994999999999996
300601,37.77,2.696
300411,204.97,2.6925
301165,73.54,2.689
688598,-23.92,2.6855
688416,-26.19,2.682
600721,83.93,2.6785
002908,351.73,2.6745
002484,29.64,2.6710000000000003
688509,-31.55,2.6675
300081,-25.99,2.6645
688198,185.91,2.661
688192,-23.76,2.6575
001339,104.85,2.654
300242,-63.26,2.6505
832522,32.05,2.647
600271,-725.5,2.6435
300366,-25.06,2.6395
300790,58.26,2.6350000000000002
603310,27.33,2.631
603127,-152.07,2.6270000000000002
836414,-884.85,2.6235
300125,-2.24,2.6195
603776,-85.84,2.6155
688385,58.63,2.611
688321,-110.16,2.6064999999999996
688317,-190.54,2.602
603103,459.59,2.598
300868,274.82,2.594
603979,18.21,2.5900000000000003
301270,571.69,2.586
688314,23.34,2.5825
688651,-64.09,2.5785
300448,482.41,2.5745
002432,11.74,2.571
301047,58.48,2.567
300142,57.04,2.5625
300246,-100.52,2.5585
002722,20.55,2.5549999999999997
301187,26.64,2.551
603456,14.78,2.5469999999999997
300079,314.27,2.5425
688525,89.54,2.5385
301156,46.64,2.5345
688575,32.2,2.5305
601069,72.82,2.5265
300315,64.69,2.5225
605166,11.74,2.5185
301205,129.42,2.5145
300232,53.13,2.5104999999999995
000682,23.85,2.506
688013,27.26,2.5015
688185,-52.49,2.4974999999999996
872808,-2318.1,2.493
688047,-116.87,2.4884999999999997
603275,26.12,2.4844999999999997
600640,623.83,2.4805
301258,121.67,2.4755
605122,140.59,2.4705000000000004
300573,33.48,2.466
300318,153.44,2.461
002821,31.37,2.4565
300577,13.36,2.452
000972,-45.3,2.447
835640,100.14,2.4425
603439,20.95,2.4385000000000003
002063,88.42,2.4345000000000003
603799,13.11,2.4305
002920,38.58,2.426
300912,-9.85,2.4219999999999997
300685,29.86,2.4185000000000003
688681,63.03,2.415
603888,62.15,2.4115
603061,77.35,2.4074999999999998
688177,-17.27,2.4035
603059,39.8,2.3995
301613,27.98,2.3955
605289,136.01,2.3920000000000003
002960,19.34,2.3884999999999996
300015,27.44,2.3845
300381,63.94,2.3810000000000002
300492,64.13,2.3775
688356,76.88,2.374
000504,-283.69,2.371
300453,18.41,2.3675
301580,29.77,2.364
688168,-45.95,2.3605
920066,40.33,2.357
603312,29.6,2.3535
002550,17.77,2.35
300884,129.14,2.3465
600354,136.02,2.343
688260,-21.95,2.3395
002906,30.38,2.3365
300401,24.68,2.3335
600039,9.71,2.3305
300124,40.09,2.3274999999999997
688336,44.96,2.325
300818,24.99,2.3225000000000002
002656,-91.21,2.32
002421,133.23,2.3175
300707,67.92,2.3145
300878,37.55,2.3115
300358,-16.98,2.3085
300485,-26.49,2.3055
688690,140.02,2.302
301316,202.49,2.2984999999999998
601601,6.17,2.2945
002555,14.34,2.2904999999999998
002530,2332.47,2.2864999999999998
301033,44.14,2.282
603718,179.29,2.2775
301178,-74.13,2.2729999999999997
002007,24.55,2.269
301070,335.67,2.2649999999999997
600797,-149.96,2.2604999999999995
688739,26.15,2.2565
600287,26.47,2.2525
688507,-65.77,2.2485
002074,73.98,2.245
688133,258.14,2.241
002609,98.81,2.2375
603758,26.17,2.234
600595,15.3,2.2305
300663,-1000.43,2.2275
688536,-108.67,2.225
300048,395.07,2.222
300942,684.31,2.219
002068,-112.31,2.2165000000000004
920106,39.54,2.2135000000000002
002901,46.16,2.211
300415,15.49,2.208
300382,-417.11,2.205
301507,39.53,2.202
603087,39.42,2.1985
301139,48.97,2.1955
300213,103.35,2.1925
300813,152.72,2.189
002311,18.25,2.185
300987,209.02,2.181
300653,22.67,2.1775
832566,20.21,2.1740000000000004
300684,46.38,2.17
301489,68.09,2.166
601166,5.69,2.1614999999999998
002551,144.99,2.157
603368,7.48,2.1525000000000003
301166,133.98,2.1485000000000003
002880,25.23,2.1445
300689,6146.83,2.1405000000000003
301469,30.71,2.1365
301397,27.59,2.132
300098,-166.9,2.1275000000000004
300585,-874.85,2.123
688505,70.85,2.1185
300391,-7.16,2.114
000812,48.25,2.1094999999999997
600511,12.24,2.1055
600398,15.86,2.102
300841,13.23,2.0985
600696,-37.78,2.0944999999999996
603005,92.14,2.0904999999999996
002589,86.66,2.0865
300595,22.42,2.0825
300300,-28.74,2.0789999999999997
002703,71.51,2.0749999999999997
603019,105.5,2.0714999999999995
002331,-135.39,2.068
000429,17.4,2.0645
688016,17.99,2.0614999999999997
600303,-6.9,2.0580000000000003
300578,146.59,2.0555
688359,-185.82,2.0524999999999998
301177,375.27,2.0495
300182,39.02,2.0469999999999997
002683,22.17,2.0445
002371,37.49,2.0415
300634,57.22,2.0385
300959,244.41,2.0355
002659,-102.94,2.032
831641,743.4,2.029
688613,360.42,2.026
605117,20.39,2.0235
600661,132.33,2.021
300556,-9.68,2.0185000000000004
600998,11.42,2.016
002690,21.86,2.0135
002769,-45.3,2.0104999999999995
832471,50.75,2.0075
600415,22.78,2.0044999999999997
301072,-322.24,2.0014999999999996
600967,34.71,1.998
688180,-22.46,1.9949999999999999
